Codigo Estación	Tipo Estación	Nombre Estación	Nombre de la Corriente Hídrica	Areade la Cuenca (Km2)	Perímetro (Km)	Pendiente Media de la Cuenca (%)	Elevacion Media de la Cuenca (msnm)	Desnivel Cuenca (m)	Compacidad	Densidad de Drenaje (Longitud de Drenajes/km2)	Densidad de Corrientes (Num de Drenajes/km2)	Deficit de agua en el suelo basada en Penman Anual	Pendiente media del cauce (m/m)	Longitud del cauce (m)	Desnivel del cauce (m)	Bosque Km2
11017010	LM	AGUASAL	ANDAGUEDA	898,198	221,208	40,576276	876,624838	3735	2,066678011	1,403212392	0,716991131	127,98893	0,020205586	118977	2404	689,6181
11027010	LM	PTE LAS SANCHEZ	ATRATO	228,79	79,0717	50,614551	2312,942622	2253	1,4637287	0,729757105	0,32344071	145,020752	0,046425225	30953	1437	114,1557
11027030	LG	SIETE EL	ATRATO	210,173	71,7616	50,358708	2357,609202	2176	1,385995062	0,733142668	0,316406008	145,020752	0,051050049	26679,7	1362	108,3015
11027050	LG	GINDRAMA	ATRATO	1638,9	256,332	37,50584	1022,056307	3917	1,772901591	1,06285691	0,454268107	134,589363	0,02076345	136538	2835	1168,804
11037020	LG	PTE CERTEGUI	QUITO	262,503	95,1818	13,291052	123,812658	260	1,644920107	1,728728677	0,782848196	189,287918	0,003027653	41616,4	126	206,8435
11047030	LM	NEGUA	NEGUA	410,998	154,533	28,233753	525,986846	3413	2,134319405	0,823611589	0,288322571	160,050298	0,025753709	81075,7	2088	337,5534
11077020	LG	MAGDALENA LA	PENDERISCO	636,759	139,771	44,306482	2306,215402	1910	1,550913433	1,072882953	0,570859619	150,405862	0,022944189	41186,9	945	235,1553
11077030	LM	PLAYA LA	MURRI	3284,52	399,694	39,009711	1511,467286	3930	1,952763752	0,965150003	0,39929731	198,506384	0,01533378	177647	2724	1923,568
11117010	LG	A#IL EL	RIOSUCIO	714,928	138,487	49,101904	1957,259198	2874	1,450226663	1,033305064	0,402138397	156,702671	0,031233052	67300,5	2102	206,0437
11117040	LG	MUTATA	RIOSUCIO	3342,34	377,371	48,075091	1440,759634	3630	1,827684551	0,882598262	0,325370848	285,881462	0,019093318	139630	2666	1266,282
